"Year","MeanTemperatureC"
1990,8.205
1991,7.204166666666666
1992,8.681666666666667
1993,8.401666666666666
1994,9.800833333333333
1995,8.552499999999998
1996,9.616666666666665
1997,10.59
1998,10.774999999999999
1999,10.753333333333336
2000,11.8825
2001,11.165
2002,11.520833333333334
2003,11.28
2004,10.495
2005,10.218333333333332
2006,11.218333333333334
2007,11.841666666666669
2008,11.428333333333333
2009,11.425833333333332
2010,10.417499999999999
2011,11.469166666666665
2012,11.79
2013,11.36
2014,12.4325
2015,11.738333333333332
2016,11.575833333333334
2017,11.725833333333334
2018,12.448333333333332
2019,12.542499999999999
2020,12.065833333333332
2021,11.629999999999997
2022,12.7475
2023,12.69
2024,12.700833333333334
